sentence,sentiment
"It's a pretty good, inexpensive casual or business casual shirt",1
Basic with few extras but pretty good,1
It fits as expected and is comfortable but there are some minor finish issues and it lacks what other shirts in this range have,2
"For example, it has no side pleats in back and doesn't have a box pleat below the yoke",0
It also doesn't have a hanging loop but I don't care about that,0
If you do you'll be disappointed,2
"So the back is a plain back which is not a problem for me but for some, who wear this to work and want a more finished look it may be an issue",0
If you're wearing it under a coat no problem of course but you'll have to take it off sometime :-D,0
The right cuff buttons are just a tad off so the cuff hem doesn't match exactly,2
This is only noticeable to me and only because I seem to have a habit of messing with them,0
So it isn't visible but can be felt,0
"Also, there are lots of loose threads from production that aren't removed so be ready to give the shirt a quick going over when you get it",2
"Most of them were simply loose pieces and pulled right out, but a couple of the buttons had to have the threads trimmed",2
Not a big deal,0
I'd give it 5 stars but for the few little issues I mention,2
Overall a solid shirt,1
pardon the pun,0
and a great standby for any traditional guy's closet,1
This is one of Van Heusen's better quality made shirts,1
"Although not completely iron free, if you wash and dry with a small load and remove from the dryer and hang immediately you won't require much ironing, none at all for those that wear these as casual shirts",0
I iron everything I wear,0
These are very well made shirts,1
Not thin or see through,0
But not hot and heavy either,0
"They look great with a sport coat and jeans, or as a dress shirt",1
For the price $22,0
"00, you simply can't beat these shirts",1
The colors are vivid,1
It's hard finding Striped Oxford shirts without paying at least $50,1
00 a pop or more,0
These are well worth every cent,1
I'd order more if they had more colors,1
Sizes are true in American sizing,0
So order your regular size without worrying about China's sizing,0
Great shirts,1
I have ordered quite a few of these shirts the past year,0
"So, I guess that the odds of me receiving one that was flawed was bound to happen",2
The issue is that I bought this shirt the end of February as a gift for my son in law,0
He did not wear the shirt right away because he was asked to work from home due to Covid19 the past ten weeks,0
Recently he wore the shirt and then washed it only to discover the unfinished seems at the cuff of each arm,0
It is past the time frame for me to return the shirt to the vender nor am I able to attempt the return,2
I would exchange this shirt if I could,2
Its disappointing,2
Darn Covid19,0
I have had a difficult time finding shirts that fit just right and are well constructed,1
I usually like Van Heusen and these shirts are no different,0
"The fit is great, neck size is good and sleeve length is great",1
"The material is a little on the heavy side, in a good way and all of the stitching feels durable",1
"I really like the collar on these, after buttoning them down they hold their shape well and look good with a sweater or jacket",1
"I have not worn them with a tie yet, but they do button snuggly but not too tightly",2
I originally bought one shirt to test it out,0
I have since bought two more in other colors so I can add them to my regular rotation,0
For the price I think these are fantastic,1
"I?셫 6???? 180lbs, fit",0
I purchased the blue 16,0
"5, 34/35 which fits me well, which includes the sleeve length",0
This my review:,0
PROS:,0
#NAME?,1
#NAME?,1
CONS:,0
#NAME?,2
#NAME?,2
#NAME?,2
RECOMMENDATION:,0
"Not the best shirt out there, the fabric feels so rough, it does not feel high quality",2
I don?셳 recommend it,2
I bought two shirts as a backup for when they would be needed for work,1
I wore the blue striped shirt twice,0
It's only been washed once,0
"The second time I wore it, I felt it split 3"" on the left side by the seem",0
It's a good looking and comfortable shirt,1
I just won't buy them again,2
I can't contact the buyer and return it because it's over a month since being bought,2
So much for planning ahead and having shirts ready when needed,0
I rarely dress up but am going to a relative's wedding where I'll have to wear a coat and tie to 2 different events,0
I'm more a jeans and flannel shirt guy,0
"I do have an older, but nice, blazer and needed to build a wardrobe around it",0
"Although I haven't worn it anywhere yet, but it fits great and looks good",1
I don't think I'll be embarrassing the family or myself,0
I also bought a light blue Van Heusen shirt for the alternate night,0
"Now, I just need to find a tie",0
"I needed a semi-dressy oxford cloth shirt that I could wear with a tie to church on Sunday, as well as without a tie for general ""business casual"" use",0
"I have had good luck with this brand in the past, and with Amazon's guarantees and ability to return if unsatisfied, I decided to give it a try",1
This is a VERY nice shirt,1
"Irons up very well, and it's well constructed to take a tie-- or NO tie",1
"The buttons are top quality, well sewn, and the fit was exactly as expected",1
I liked this shirt so much that after a month I just ordered a second one,1
Another quality Van Heusen dress shirt for my 'collection',1
"The collection starts at 16"" then 16",0
"5, then 17, then 17",0
"5, so I skipped 18 for this 18",0
They're too small to wear and too good to get rid of,2
I keep thinking one of these years I'll lose some weight,0
"These shirts are great, fit well",1
not too loose not too tight,0
and the best part is the sleeves really are 36-37,0
I always tell people I have monkey arms and it's so hard to get sleeves that are the correct size without getting Tall,0
not as common as it should be,0
or 2 XL which are then like wearing a tent,0
"These are perfect, just wish they were in a few more colors other than shades of blue",1
"I wore this shirt 1 time, then I washed it on a cold gentle cycle, delicate dryer both are large capacity, but I only washed 1 other shirt, and 2 pairs of pants and both cuff sleeves have completely fallen apart",2
The fabric literally shredded,2
Extremely poor construction,2
I should have realized it when threads wear coming off both sleeves the first time I wore it,2
I have added 3 pic's to show the shady workmanship,0
