sentence,sentiment
Dear Potential Buyers,0
before you buy I would like you to know a few facts about this product,0
The color is cream - close to ivory,0
"it is not white, in fact it is far from white",0
If you have a high performance job,0
"a waiter,  a barman or you spend some  hours in office wearing the  suit",0
", than you will feel like wearing a plastic bag - wet and uncomfortable with strong sensation of aching",2
The information,0
on website and on shirt's  label indicates that it is 100% cotton,0
It is not,2
"It is 100% polyester, uncomfortable to use",2
"This shirt,  20-30 minutes after ironing, will lose it shape, and you will look like a rickshaw  driver after very long rainy day",2
"The price for 100% polyester shirts is usually 70% cheaper  than cotton, because difficult to wear in cold or hot days",2
"From the ethical point, looks like ""Amazon"" is taking very  strange business direction, by selling polyester as a cotton",2
"It is not ""Essential"" it is ""Strategic Mistake""",2
I returned the item,2
Not acceptable,2
I purchased a 16??32-33??French Blue shirt,0
"Very much liked the color, the fabric, the fit when I first tried it on",1
It washed up nicely,1
I liked it so much that I anticipated buying two to three more,1
"So, what?ôs the problem?  Well, when I put it on and with my hands at my side everything is great, however if I move my arms or do almost anything, the sleeves become 1-3 inches too short and I must return my hands to my sides and pull the sleeves back down",2
It seems like the shirt is just too small across the back,2
I'm really happy I decided to order one of these shirts,1
"I was looking to buy a red/blue tattersall and when I saw this, I figured it was worth a shot",1
"I typically wear Brooks Brothers non-iron shirts, and while these aren't the same quality, they are definitely comparable to brands such as Calvin Klein",1
"For the money, it is a fantastic value and I would have given it 5 stars had it not run pretty small",1
"This is marketed as a 'regular fit', and while I am certainly a large guy",0
6'3 250,0
", I expect a regular fit shirt to be relatively loose fitting given the measurements I buy",0
17,0
"5, 35",0
"This will not fit you if you are, sorry, very overweight or obese",0
"I am going to order a 18"" neck next time and see how it fits",0
I bought this dress shirt from Amazon Basics and another dress shirt of the same size / color Kirkland brand from Costco as a test for which $20 men's long sleeve dress shirt is better,0
Costco wins,2
Comfortably,0
The Amazon Basics shirt looks thinner and cheaper,1
It's fabric is a bit stiffer and less comfortable,2
"Either the sleeves are a bit shorter for the listed size, or the shirt shrank -- neither of those options is good",2
"Lint and fuzz cling to the Amazon shirt more, even though I washed it and the Costco shirt at the same time",2
"Overall, it's not an awful shirt, but if you've got access to a Costco, the choice for a $20 men's dress shirt is easy, and it's not Amazon Basics",2
These dress shirts are great,1
"They are a nice white, fit well and awesome price",1
Can?ôt beat 20 bucks for a dress shirt anywhere else,1
"I first got this size shirt in the slim fit but was a little too tight for me, wanted more maneuverability of my arms",2
some people might like that tight though,1
So returned it no problem and got the regular fit and couldn?ôt be happier,1
Absolutely love it,1
Must buy,1
Oh and it really is non-iron,1
Comes out of wash great,1
This shirt surpassed my expectations for this price point,1
I have been ordering another brand from Amazon and the quality of the Amazon Essentials shirt is so much better and the fit is better,1
"For all my dress shirts, this is going to be the shirt I buy",1
"When I lose a little weight, I will be buying Amazon Essential pants also",1
Everything I have bought from Amazon Essentials so far has been excellent quality at an affordable price,1
I'm hooked,1
I bought this for my husband after I ran one of his white shirts in a colored wash and it came out gray,0
He put this on as soon as I have it to him and really loves it,1
I did notice that it is a bit see-through,2
But he doesn't mind that his undershirt shows through,1
This is a very well constructed shirt for the average size man,1
"highly recommend, ",1
but if you are a BIG size man then this is not the shirt for you,2
It is way to small in the stomach,2
The sleeves and neck size are fantastic,1
Fantastic price,1
This is the first time I have been disappointed by Amazon Essentials and I have bought several other items - which were all good,2
The fabric used for this shirt is just not right,2
The label says cotton but I have my doubts,2
Too shiny and doesn't feel right,2
